mobiles_Names,mobiles_prices,mobiles_ratings,mobiles_images
"Motorola Edge 50 Fusion (Hot Pink, 256 GB)","24,999",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/k/l/edge-50-fusion-pb300001in-motorola-original-imahywzpfd2jh9ep.jpeg?q=70
"Motorola G34 5G (Ocean Green, 128 GB)","11,999",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/m/f/g34-5g-pb1v0002in-motorola-original-imagwu4rayqhgfjh.jpeg?q=70
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)","9,490",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/2/x/-original-imagtyxg7mdjhfqm.jpeg?q=70
"Motorola G34 5G (Ice Blue, 128 GB)","11,999",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/k/9/g34-5g-pb1v0001in-motorola-original-imagwu4r4xze9jwz.jpeg?q=70
"Motorola G34 5G (Charcoal Black, 128 GB)","11,999",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/o/y/g34-5g-pb1v0000in-motorola-original-imagwu4s8naevwyq.jpeg?q=70
"POCO M6 Pro 5G (Forest Green, 128 GB)","9,999",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/s/9/i/m6-pro-5g-mzb0eqjin-poco-original-imags3e7dazavyje.jpeg?q=70
"POCO M6 Pro 5G (Power Black, 128 GB)","9,999",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/h/q/m6-pro-5g-mzb0eprin-poco-original-imags3e7vewsafst.jpeg?q=70
"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)","9,490",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/g/n/k/-original-imagtyxb86ddjhzh.jpeg?q=70
"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)","9,490",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/8/k/-original-imagtyxcgmgvtm7y.jpeg?q=70
"REDMI 13C (Stardust Black, 128 GB)","7,699",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/e/h/j/-original-imagxg47qr5wzvyh.jpeg?q=70
